Tgt,A0_Phys,A2_Scratch,A3_ZS,A4_Full,A5_Scratch3d
FL,2.8682562438926307,1.8232417345046996,3.0434296131134033,2.727645206451416,2.5134803533554075
OR,1.5678371315713548,1.4966996908187866,1.5136034488677979,1.4876230478286743,1.5225234270095824
