method,FL_MAE,CO_MAE
Faiman,3.8609282970428467,2.1785225868225098
E1-MLP4f-zeroshot,4.09,
v4-ResidualMLP-zeroshot,4.815751552581787,2.096709966659546
v4-ResidualMLP-labelfree,5.105952262878418,2.12965989112854
