epoch,loss,mae,res_mean,res_std,res_min,res_max,res_q25,res_q75
0,0.1080939845683483,2.99869704246521,0.1587935835123062,0.25044167041778564,-0.0735429897904396,1.116231918334961,-0.03145482391119003,0.31311914324760437
1,0.08639439066442159,2.961357355117798,0.07572673261165619,0.22423896193504333,-0.1545787751674652,0.9138497710227966,-0.09594577550888062,0.21563123166561127
2,0.06859750135873373,2.9288876056671143,-0.005313789937645197,0.20407769083976746,-0.23858588933944702,0.7241342663764954,-0.16402490437030792,0.12181918323040009
3,0.0529393210577277,2.8976173400878906,-0.09257493913173676,0.18821781873703003,-0.3200386166572571,0.5557677745819092,-0.2434508204460144,0.01896299421787262
4,0.03824686495443949,2.863075017929077,-0.1961042732000351,0.17346064746379852,-0.4423179626464844,0.41057491302490234,-0.3324425220489502,-0.10287502408027649
5,0.024840457400736902,2.8227486610412598,-0.32121163606643677,0.15019388496875763,-0.5814138054847717,0.19893358647823334,-0.44110843539237976,-0.23342226445674896
6,0.01343399422386518,2.79289174079895,-0.430392861366272,0.13824185729026794,-0.7164977788925171,-0.020617395639419556,-0.5387924313545227,-0.338743656873703
7,0.007655217366006512,2.7733030319213867,-0.5071526765823364,0.13253368437290192,-0.8101136088371277,-0.16668462753295898,-0.6089203357696533,-0.4109610915184021
8,0.005340656310391541,2.7601399421691895,-0.5553255677223206,0.1278032660484314,-0.8639808893203735,-0.2183483988046646,-0.651999294757843,-0.4579254984855652
9,0.0045842086860480215,2.751520872116089,-0.5806179046630859,0.1227705180644989,-0.8862656354904175,-0.24988184869289398,-0.6730437874794006,-0.4875880479812622
10,0.004375695376298749,2.7458856105804443,-0.5907716155052185,0.11730640381574631,-0.8879989981651306,-0.26814454793930054,-0.6779453158378601,-0.5017529129981995
11,0.004299963797585895,2.74180269241333,-0.5935044884681702,0.1117774173617363,-0.8800126314163208,-0.27996429800987244,-0.6758058071136475,-0.5097476243972778
12,0.004260518838866399,2.7386975288391113,-0.5923390984535217,0.10646436363458633,-0.8673545122146606,-0.2882194519042969,-0.6697662472724915,-0.5126779079437256
13,0.00422682891635654,2.736062526702881,-0.5901852250099182,0.1016189232468605,-0.8540962338447571,-0.2954309582710266,-0.6631045341491699,-0.5139278173446655
14,0.004199490130234223,2.733760356903076,-0.5875551104545593,0.09721657633781433,-0.8497031331062317,-0.3019261360168457,-0.6560752391815186,-0.5154026746749878
15,0.004177103696677547,2.731670618057251,-0.5850757956504822,0.0932515487074852,-0.8492189049720764,-0.30885154008865356,-0.6510400772094727,-0.5164158344268799
16,0.004155094690549259,2.7298583984375,-0.5823816061019897,0.08970144391059875,-0.8476881980895996,-0.3149334490299225,-0.6460022330284119,-0.5167469382286072
17,0.004140117939991446,2.7281861305236816,-0.5804257392883301,0.08669698238372803,-0.8464134931564331,-0.31580227613449097,-0.6419097185134888,-0.5172154903411865
18,0.004124509376617005,2.7267704010009766,-0.5780695080757141,0.08394597470760345,-0.8440328240394592,-0.3162381052970886,-0.6385464668273926,-0.5169950723648071
19,0.004110983501260097,2.7255468368530273,-0.5761070847511292,0.08161327987909317,-0.8414194583892822,-0.31689178943634033,-0.6349242925643921,-0.5166391134262085
20,0.004102264074250483,2.7244679927825928,-0.5743623375892639,0.07958398759365082,-0.8387752771377563,-0.31769317388534546,-0.6318414807319641,-0.5162023305892944
21,0.004095617735471863,2.7235946655273438,-0.5726236701011658,0.07777990400791168,-0.8353471159934998,-0.3185657560825348,-0.6291481256484985,-0.5156823992729187
22,0.004085995230035713,2.7228641510009766,-0.570936381816864,0.07614276558160782,-0.8315083384513855,-0.3195909857749939,-0.6274094581604004,-0.515002965927124
23,0.004079478586880634,2.7222063541412354,-0.5697901844978333,0.07477910816669464,-0.8282178640365601,-0.3208875358104706,-0.6258938908576965,-0.5150697827339172
24,0.004074866453615518,2.7217068672180176,-0.5686022043228149,0.07352934777736664,-0.8244156837463379,-0.3222353756427765,-0.62430739402771,-0.5150793790817261
25,0.004071142685671265,2.7212772369384766,-0.567676842212677,0.07242030650377274,-0.820772111415863,-0.32375267148017883,-0.6229627728462219,-0.5150441527366638
26,0.00406772901232426,2.720947504043579,-0.5667328834533691,0.07138242572546005,-0.8168637752532959,-0.325265109539032,-0.6216771602630615,-0.5152447819709778
27,0.004063742441268494,2.7206943035125732,-0.5659909844398499,0.07044178992509842,-0.8127737641334534,-0.326932817697525,-0.6200134754180908,-0.5154588222503662
28,0.004058257775166287,2.7206568717956543,-0.5650060176849365,0.06955359876155853,-0.8099936246871948,-0.3285403251647949,-0.6180860996246338,-0.5151677131652832
29,0.004057281758063114,2.7205989360809326,-0.5643697381019592,0.06875219941139221,-0.8094298243522644,-0.33040809631347656,-0.6170519590377808,-0.5153036117553711
30,0.004055562688825795,2.720473051071167,-0.5640885233879089,0.06801500171422958,-0.8094896674156189,-0.3324320912361145,-0.6161596179008484,-0.5155917406082153
31,0.004052822764676351,2.7205684185028076,-0.5635403394699097,0.06727354973554611,-0.8081426620483398,-0.33455052971839905,-0.6150205135345459,-0.5155351758003235
32,0.004050796833605721,2.7206156253814697,-0.5631740093231201,0.06658368557691574,-0.8071678876876831,-0.3366749882698059,-0.6142400503158569,-0.5157857537269592
33,0.004048286041674705,2.720712423324585,-0.5628060698509216,0.06591019779443741,-0.8059179782867432,-0.338937908411026,-0.6135709881782532,-0.5158308744430542
34,0.004046564769501297,2.7208147048950195,-0.5626381635665894,0.06527281552553177,-0.8047723770141602,-0.34134605526924133,-0.6132134199142456,-0.5163282155990601
35,0.004044857216425813,2.7210144996643066,-0.5622751116752625,0.06464127451181412,-0.8029489517211914,-0.34363073110580444,-0.6125683188438416,-0.5164754390716553
36,0.004042683106560547,2.7211899757385254,-0.5622026324272156,0.06405395269393921,-0.8014350533485413,-0.34625187516212463,-0.6119108200073242,-0.5167962312698364
37,0.004042091940601285,2.7213425636291504,-0.5622541308403015,0.06348085403442383,-0.8001495003700256,-0.3488961458206177,-0.6114622354507446,-0.5173788666725159
38,0.004039020214874584,2.72155499458313,-0.562437891960144,0.06294570863246918,-0.798583447933197,-0.351698637008667,-0.6112509965896606,-0.5178857445716858
39,0.004037765383075636,2.721684217453003,-0.5627387166023254,0.0624290369451046,-0.7974209785461426,-0.3545042872428894,-0.6110814809799194,-0.5184953212738037
40,0.004036304684212575,2.721999168395996,-0.5625934600830078,0.061869531869888306,-0.7949717044830322,-0.3572903275489807,-0.6106791496276855,-0.5185985565185547
41,0.004033646868685117,2.722135305404663,-0.5629814267158508,0.061390411108732224,-0.7937462329864502,-0.3601202368736267,-0.6106915473937988,-0.519627571105957
42,0.00403285357886209,2.722364664077759,-0.5630039572715759,0.06086992099881172,-0.7938547134399414,-0.36289143562316895,-0.6101557016372681,-0.5199447870254517
43,0.004031997003879111,2.722529649734497,-0.5633028149604797,0.06036652997136116,-0.7951642870903015,-0.3659466505050659,-0.6099006533622742,-0.5203135013580322
44,0.004029582442644124,2.722700595855713,-0.5635382533073425,0.05987052246928215,-0.7958760857582092,-0.3690108060836792,-0.609447181224823,-0.5209656953811646
45,0.004028026148891793,2.722897529602051,-0.5634343028068542,0.05932817608118057,-0.7961270213127136,-0.37177085876464844,-0.6089911460876465,-0.5212756991386414
46,0.004027308439477705,2.7229230403900146,-0.5639251470565796,0.05882924795150757,-0.7969135046005249,-0.3749317526817322,-0.608855128288269,-0.522017240524292
47,0.004026383815261607,2.7230584621429443,-0.563971996307373,0.05827769264578819,-0.797118067741394,-0.37806278467178345,-0.6080543994903564,-0.5222996473312378
48,0.004024695336388854,2.723146915435791,-0.5638516545295715,0.0576869435608387,-0.7969739437103271,-0.3808245360851288,-0.6074708700180054,-0.5228136777877808
49,0.004023721504311722,2.7230923175811768,-0.5645866990089417,0.05717090517282486,-0.797991156578064,-0.3843880891799927,-0.6076134443283081,-0.5238348245620728
