Source,Target,Faiman_RH,ZeroShot,FewShot3d,Improvement,FewShot_std
CO,CO,2.862722972321589,2.478821277618408,2.478821277618408,0.3839016947031806,
CO,FL,2.8682562438926307,3.032113552093506,2.260498803853989,0.6077574400386418,0.43133570761901063
CO,OR,1.5678371315713548,1.5222777128219604,1.456211620569229,0.11162551100212581,0.045990713516842134
FL,CO,2.862722972321589,3.341315507888794,2.6712135910987853,0.19150938122280348,0.2138001746932096
FL,FL,2.8682562438926307,1.8486045598983765,1.8486045598983765,1.0196516839942542,
FL,OR,1.5678371315713548,2.3089287281036377,1.5873927891254425,-0.019555657554087613,0.1545443712937155
OR,CO,2.862722972321589,3.3055191040039062,2.3894820690155028,0.47324090330608604,0.19629851860874328
OR,FL,2.8682562438926307,3.093238592147827,2.1558575510978697,0.712398692794761,0.29119462281237996
OR,OR,1.5678371315713548,1.4418035745620728,1.4418035745620728,0.1260335570092821,
