Model,Params,ZS,FS3d,std
ResidualMLP (ours),737,3.0434296131134033,2.727645206451416,0.3641720508293382
LSTM-32,5025,5.24598503112793,3.764058971405029,0.7910754507120881
Random Forest,~10K,N/A,1.9484605891656117,0.08339110222039271
