Src,Tgt,Phys,ZS,FS3d,Imp
CO,FL,2.8682562438926307,3.0434296131134033,2.727645206451416,0.14061103744121484
CO,OR,1.5678371315713548,1.5136034488677979,1.4876230478286743,0.08021408374268058
FL,CO,2.862722972321589,3.6000473499298096,3.19476637840271,-0.33204340608112126
FL,OR,1.5678371315713548,2.1132054328918457,1.7588563680648803,-0.19101923649352548
OR,CO,2.862722972321589,3.193470001220703,2.642601728439331,0.22012124388225773
OR,FL,2.8682562438926307,3.072465419769287,2.1894699811935423,0.6787862626990884
