N_days,model,seed,MAE,RMSE,R2
1,MLP-4f,0,3.28609299659729,4.066962739974971,0.7181405425071716
1,MLP-4f,1,3.2643332481384277,3.9181427845663084,0.7383909821510315
1,MLP-4f,2,3.7900168895721436,4.948541006216879,0.5827018022537231
1,MLP-4f,3,3.4932382106781006,4.422312792346286,0.6667339205741882
1,MLP-4f,4,2.8681774139404297,3.8779414918134365,0.7437317967414856
1,MLP-5f,0,2.478278398513794,3.366718303800601,0.8068450689315796
1,MLP-5f,1,3.0977022647857666,3.7995461694859265,0.7539883852005005
1,MLP-5f,2,3.491669178009033,4.58153482465072,0.6423039436340332
1,MLP-5f,3,3.2181084156036377,3.9825546594234473,0.7297189235687256
1,MLP-5f,4,2.795635938644409,3.605134396739557,0.7785196900367737
3,MLP-4f,0,2.272369146347046,2.950540693485032,0.8516473174095154
3,MLP-4f,1,3.3148560523986816,3.968435320055668,0.7316319346427917
3,MLP-4f,2,2.051790714263916,2.829574634948881,0.863562285900116
3,MLP-4f,3,3.005573034286499,3.7773034804681935,0.7568602561950684
3,MLP-4f,4,2.7535011768341064,3.628627934782914,0.7756236791610718
3,MLP-5f,0,1.942827820777893,2.8080297760702466,0.8656320571899414
3,MLP-5f,1,3.433910846710205,4.468473625973472,0.6597402095794678
3,MLP-5f,2,2.0928285121917725,2.9282616973203,0.8538792133331299
3,MLP-5f,3,2.582448720932007,3.3574779743258922,0.8079038858413696
3,MLP-5f,4,2.6641995906829834,3.3925533875753273,0.8038693070411682
7,MLP-4f,0,1.8708909749984741,2.65862984353943,0.8795496821403503
7,MLP-4f,1,1.8395919799804688,2.6443214502324457,0.8808426856994629
7,MLP-4f,2,2.8997559547424316,3.5655881647452343,0.7833520770072937
7,MLP-4f,3,3.5562283992767334,4.560049156459409,0.6456509828567505
7,MLP-4f,4,2.316885232925415,3.1248255871738424,0.8336036205291748
7,MLP-5f,0,1.8029261827468872,2.6175445768537364,0.8832436800003052
7,MLP-5f,1,2.0368356704711914,2.731214604268418,0.8728829622268677
7,MLP-5f,2,2.374208450317383,3.0920146352167435,0.837079644203186
7,MLP-5f,3,3.4293911457061768,4.440154020713823,0.6640394926071167
7,MLP-5f,4,3.4588687419891357,4.507199568042998,0.6538169384002686
14,MLP-4f,0,1.8229256868362427,2.6158507619979794,0.883394718170166
14,MLP-4f,1,1.8077760934829712,2.6125738215625627,0.8836867213249207
14,MLP-4f,2,3.0714194774627686,3.7249317239738238,0.7635557055473328
14,MLP-4f,3,3.052305221557617,3.810499072691581,0.7525679469108582
14,MLP-4f,4,2.8074891567230225,3.753644952006012,0.759896457195282
14,MLP-5f,0,3.2268223762512207,4.042466992188627,0.7215256690979004
14,MLP-5f,1,1.9570649862289429,2.7742986497301056,0.8688408136367798
14,MLP-5f,2,2.9518001079559326,3.6131041447305314,0.7775393724441528
14,MLP-5f,3,3.298823833465576,4.155201256166547,0.7057772278785706
14,MLP-5f,4,2.341444492340088,3.1415745452677264,0.8318151235580444
28,MLP-4f,0,2.1225008964538574,2.829077797244418,0.8636101484298706
28,MLP-4f,1,1.7395646572113037,2.5274749674628083,0.8911405801773071
28,MLP-4f,2,1.8993273973464966,2.654221242426403,0.8799487948417664
28,MLP-4f,3,2.265265941619873,2.988417359287932,0.8478140234947205
28,MLP-4f,4,2.434847116470337,3.2253409745103645,0.8227266073226929
28,MLP-5f,0,2.012730360031128,2.782559033202062,0.8680586218833923
28,MLP-5f,1,1.7684732675552368,2.5355676631636554,0.8904423713684082
28,MLP-5f,2,1.8723514080047607,2.655368613823844,0.8798450231552124
28,MLP-5f,3,2.5373547077178955,3.3078991589841884,0.8135352730751038
28,MLP-5f,4,2.296103000640869,3.063157614343816,0.8401064872741699
999,MLP-4f,0,1.8893588781356812,2.666382168455155,0.8788462281227112
999,MLP-5f,0,1.8899213075637817,2.6799229999412324,0.8776125907897949
