hidden_size,source,target,seed,transfer_mae,scratch_mae,gain
16,CO,FL,0,2.0058274269104004,1.9800353050231934,-0.02579212188720703
16,CO,FL,1,5.764669895172119,5.323490619659424,-0.4411792755126953
16,CO,FL,2,2.9193732738494873,2.6122682094573975,-0.30710506439208984
16,CO,FL,3,2.4829466342926025,2.8688721656799316,0.3859255313873291
16,CO,FL,4,2.706657886505127,2.4958693981170654,-0.21078848838806152
16,CO,FL,5,2.3674750328063965,2.188056707382202,-0.17941832542419434
16,CO,FL,6,2.27423095703125,1.8999611139297485,-0.37426984310150146
16,CO,FL,7,2.207413911819458,1.921884536743164,-0.28552937507629395
16,CO,FL,8,3.205822706222534,3.848072052001953,0.642249345779419
16,CO,FL,9,2.272228479385376,2.097836971282959,-0.174391508102417
16,CO,OR,0,2.0154104232788086,2.17203688621521,0.15662646293640137
16,CO,OR,1,1.689610242843628,1.6190916299819946,-0.0705186128616333
16,CO,OR,2,1.5117449760437012,1.5176301002502441,0.005885124206542969
16,CO,OR,3,2.240030288696289,2.3048014640808105,0.06477117538452148
16,CO,OR,4,1.599915623664856,2.4337878227233887,0.8338721990585327
16,CO,OR,5,1.6231012344360352,1.6987018585205078,0.07560062408447266
16,CO,OR,6,1.8395607471466064,2.036520481109619,0.1969597339630127
16,CO,OR,7,2.758805751800537,1.7793598175048828,-0.9794459342956543
16,CO,OR,8,2.450517177581787,2.601433038711548,0.15091586112976074
16,CO,OR,9,1.786373496055603,2.1102705001831055,0.32389700412750244
16,FL,CO,0,2.412713050842285,2.2081308364868164,-0.20458221435546875
16,FL,CO,1,3.669896364212036,2.577950954437256,-1.0919454097747803
16,FL,CO,2,3.1051812171936035,2.265197992324829,-0.8399832248687744
16,FL,CO,3,2.322000503540039,2.1867125034332275,-0.13528800010681152
16,FL,CO,4,3.0008437633514404,2.104059934616089,-0.8967838287353516
16,FL,CO,5,3.4742841720581055,2.2153260707855225,-1.258958101272583
16,FL,CO,6,2.5690159797668457,2.1863369941711426,-0.3826789855957031
16,FL,CO,7,2.576798439025879,2.3110177516937256,-0.2657806873321533
16,FL,CO,8,2.3979289531707764,2.8914365768432617,0.49350762367248535
16,FL,CO,9,2.282301187515259,2.2003042697906494,-0.08199691772460938
16,FL,OR,0,2.4866116046905518,2.2558505535125732,-0.23076105117797852
16,FL,OR,1,1.6547867059707642,1.7554197311401367,0.10063302516937256
16,FL,OR,2,2.5969974994659424,1.5701992511749268,-1.0267982482910156
16,FL,OR,3,2.0357775688171387,2.65146803855896,0.6156904697418213
16,FL,OR,4,2.06752347946167,1.8160791397094727,-0.25144433975219727
16,FL,OR,5,1.9738564491271973,1.7242913246154785,-0.24956512451171875
16,FL,OR,6,2.5313236713409424,3.493555784225464,0.9622321128845215
16,FL,OR,7,3.5247528553009033,2.9489524364471436,-0.5758004188537598
16,FL,OR,8,2.7117090225219727,2.4030234813690186,-0.3086855411529541
