co_frac,n_co,N_days,method,MAE,seed
1.0,6752,28,pretrained,2.3841769695281982,0
1.0,6752,28,scratch,2.585836887359619,0
1.0,6752,28,pretrained,1.7485674619674683,1
1.0,6752,28,scratch,1.729313611984253,1
1.0,6752,28,pretrained,2.1462018489837646,2
1.0,6752,28,scratch,2.0972237586975098,2
1.0,6752,28,pretrained,2.461205005645752,3
1.0,6752,28,scratch,2.34940505027771,3
1.0,6752,28,pretrained,2.95271372795105,4
1.0,6752,28,scratch,2.730431079864502,4
