pair,src,tgt,faiman,mean,std,n,ci_lo,ci_hi,t_stat,p_val,p_val_bonf,sig_uncorrected,sig_bonf,assessment
CO→FL,CO,FL,2.8682562438926307,2.970491051673889,0.024628135212833118,20,2.9589647295910257,2.9820173737567526,-18.564457104847996,0.9999999999999386,1.0,False,False,Negative transfer
CO→OR,CO,OR,1.5678371315713548,1.504952621459961,0.03567642239702686,20,1.48825554180863,1.5216497011112917,7.882743273752022,1.0427331261508723e-07,6.256398756905234e-07,True,True,Significant
FL→CO,FL,CO,2.862722972321589,3.3651847004890443,0.16248672685662957,20,3.2891385714681234,3.441230829509965,-13.829296730997696,0.9999999999886098,1.0,False,False,Negative transfer
FL→OR,FL,OR,1.5678371315713548,1.8867668330669403,0.09473260624149404,20,1.8424306085882154,1.9311030575456651,-15.05603024939216,0.9999999999974227,1.0,False,False,Negative transfer
OR→CO,OR,CO,2.862722972321589,2.860425078868866,0.055401991475975375,20,2.8344961487137557,2.886354009023976,0.1854895764015373,0.42740544498682015,1.0,False,False,Not significant
OR→FL,OR,FL,2.8682562438926307,2.5601157665252687,0.07085999374986104,20,2.5269522686115082,2.5932792644390292,19.44744890734648,2.6483129346434198e-14,1.5889877607860518e-13,True,True,Significant
