seed,MAE_PGResMLP
0,2.9613122940063477
1,2.9606833457946777
2,2.95877742767334
3,3.0060317516326904
4,2.9591238498687744
5,2.960376024246216
6,3.0163846015930176
7,2.9593069553375244
8,2.960338592529297
9,2.9681196212768555
10,2.959235191345215
11,2.960859775543213
12,3.054499387741089
13,2.958685874938965
14,2.9585464000701904
15,2.959398031234741
16,2.9614081382751465
17,2.9608700275421143
18,2.9610226154327393
19,2.96484112739563
