epoch,loss,mae,res_mean,res_std,res_min,res_max,res_q25,res_q75
0,0.07000861166474912,2.999441623687744,0.1645684391260147,0.24708345532417297,-0.06413955241441727,1.1186047792434692,-0.021343141794204712,0.3146151006221771
1,0.046300582659359164,2.9653759002685547,0.10533319413661957,0.20909559726715088,-0.08914709091186523,0.926498293876648,-0.04812214896082878,0.22496260702610016
2,0.03081572102382779,2.938325881958008,0.0625336691737175,0.17386241257190704,-0.10128884017467499,0.7618962526321411,-0.059573255479335785,0.1486908197402954
3,0.019847992718076475,2.9146270751953125,0.028364457190036774,0.13877181708812714,-0.11284060776233673,0.6110299229621887,-0.06437554955482483,0.07952111959457397
4,0.012016356689855456,2.8945817947387695,0.005446271039545536,0.10663561522960663,-0.11805205047130585,0.4912870526313782,-0.06299620866775513,0.031025342643260956
5,0.007101859422758794,2.876250982284546,-0.011324610561132431,0.07827788591384888,-0.12867319583892822,0.3705582618713379,-0.06460334360599518,0.01779167354106903
6,0.003641485823139262,2.863572359085083,-0.019969375804066658,0.06216082721948624,-0.14120540022850037,0.26127326488494873,-0.06494538486003876,0.01725044846534729
7,0.0020353929229223956,2.856919050216675,-0.022614846006035805,0.05575579032301903,-0.14534184336662292,0.18943093717098236,-0.06587070226669312,0.01717701554298401
8,0.0012695214570088026,2.854450225830078,-0.02228493057191372,0.05129990726709366,-0.13035407662391663,0.14121593534946442,-0.06381268799304962,0.016211502254009247
9,0.000843412105146294,2.8554108142852783,-0.01941773109138012,0.04563751071691513,-0.11650685966014862,0.10809655487537384,-0.05639053136110306,0.015376575291156769
10,0.0005638076959607693,2.857499837875366,-0.01655528135597706,0.04008007422089577,-0.11306609213352203,0.08393228054046631,-0.048295293003320694,0.014519810676574707
11,0.00038239283905848145,2.858686685562134,-0.01587159000337124,0.03558313101530075,-0.11687804013490677,0.09262709319591522,-0.04373377561569214,0.011369183659553528
12,0.0002800491837171229,2.859239339828491,-0.016144055873155594,0.03205513581633568,-0.11710615456104279,0.10267426073551178,-0.040146492421627045,0.007615990936756134
13,0.00021702524939498218,2.859846830368042,-0.015600266866385937,0.029454313218593597,-0.11358215659856796,0.10967335104942322,-0.03698907047510147,0.005505494773387909
14,0.00017422116574240275,2.8607101440429688,-0.014328096993267536,0.02768162079155445,-0.11024872213602066,0.11466778814792633,-0.03383754938840866,0.004848279058933258
15,0.00014510500323712433,2.8613414764404297,-0.013836606405675411,0.026032930240035057,-0.10703989863395691,0.11610254645347595,-0.031504131853580475,0.003506213426589966
16,0.00012742116254790185,2.8619203567504883,-0.013213443569839,0.024440264329314232,-0.10362479835748672,0.11673447489738464,-0.02924308180809021,0.002967439591884613
17,0.00011081973661930533,2.86253023147583,-0.012016402557492256,0.023334529250860214,-0.09986405074596405,0.11680296063423157,-0.026979967951774597,0.0024945884943008423
18,9.777617196959909e-05,2.8634562492370605,-0.010032881051301956,0.02228316105902195,-0.09642893075942993,0.11748836934566498,-0.023769184947013855,0.003061331808567047
19,7.841434000091304e-05,2.865020275115967,-0.007590881083160639,0.020474130287766457,-0.09399032592773438,0.11121208965778351,-0.01833900809288025,0.0027882978320121765
20,6.761592745673485e-05,2.865483045578003,-0.006762844976037741,0.019234217703342438,-0.09293171763420105,0.10397809743881226,-0.015924721956253052,0.002416834235191345
21,6.077397973478163e-05,2.865891695022583,-0.005673822481185198,0.018405094742774963,-0.09249897301197052,0.09857293963432312,-0.014278039336204529,0.003378458321094513
22,5.466346696126633e-05,2.8661417961120605,-0.005011316388845444,0.017773648723959923,-0.0916244313120842,0.09606218338012695,-0.013278737664222717,0.0039366260170936584
23,5.051443475587383e-05,2.866312026977539,-0.00467026699334383,0.017180299386382103,-0.09113553166389465,0.09389947354793549,-0.012977443635463715,0.004069797694683075
24,4.6460056217676116e-05,2.86664080619812,-0.004145615268498659,0.016603626310825348,-0.09092488884925842,0.0919705331325531,-0.012214422225952148,0.0042861029505729675
25,4.38178731201333e-05,2.866746187210083,-0.003849910805001855,0.016095126047730446,-0.09061554074287415,0.08954620361328125,-0.011814072728157043,0.004310138523578644
26,4.047499288180216e-05,2.8669192790985107,-0.0036355850752443075,0.015607119537889957,-0.08948081731796265,0.08724503219127655,-0.011279597878456116,0.004169277846813202
27,3.8208169056675753e-05,2.8670811653137207,-0.003485902678221464,0.015164914540946484,-0.08879144489765167,0.08503453433513641,-0.010886192321777344,0.003975972533226013
28,3.5812116668519316e-05,2.867103338241577,-0.0032760195899754763,0.014751455746591091,-0.08766033500432968,0.08168923854827881,-0.010650962591171265,0.0039926618337631226
29,3.415591936573037e-05,2.8673458099365234,-0.0028331130743026733,0.014403171837329865,-0.08610418438911438,0.07862402498722076,-0.009991109371185303,0.004195228219032288
30,3.2619986051521177e-05,2.8673577308654785,-0.0027805366553366184,0.014005306176841259,-0.08487936854362488,0.0744340568780899,-0.009780727326869965,0.0039751529693603516
31,3.0803949007699535e-05,2.867581844329834,-0.0022370973601937294,0.013657146133482456,-0.08314578235149384,0.07136392593383789,-0.009100385010242462,0.004329614341259003
32,2.8849702735337465e-05,2.867513656616211,-0.0025089720729738474,0.013258116319775581,-0.08190713077783585,0.06889019906520844,-0.009143590927124023,0.00377076119184494
33,2.794148716790145e-05,2.867600202560425,-0.0021504913456737995,0.012986866757273674,-0.08032964169979095,0.06711454689502716,-0.00874551385641098,0.004081711173057556
34,2.6148963850293792e-05,2.867628812789917,-0.002175471279770136,0.01268026977777481,-0.07862155139446259,0.064804807305336,-0.00865219533443451,0.0037870779633522034
35,2.5164764093250807e-05,2.8676373958587646,-0.0021294718608260155,0.012394915334880352,-0.07746516913175583,0.06298667192459106,-0.008489556610584259,0.003683514893054962
36,2.3663196700978846e-05,2.8675856590270996,-0.002021743217483163,0.012092000804841518,-0.07625320553779602,0.06078678369522095,-0.008296146988868713,0.0037314221262931824
37,2.2415874249977955e-05,2.8675618171691895,-0.0021671319846063852,0.011805374175310135,-0.07499268651008606,0.058719784021377563,-0.008339263498783112,0.003372780978679657
38,2.153265757862335e-05,2.867725133895874,-0.0018560009775683284,0.011549473740160465,-0.07356372475624084,0.05746331810951233,-0.007745951414108276,0.0035518333315849304
39,2.043595720981382e-05,2.867694616317749,-0.0018902055453509092,0.011305349878966808,-0.0726855993270874,0.05588120222091675,-0.007723920047283173,0.0033726096153259277
40,1.977068600703765e-05,2.867675542831421,-0.0017998784314841032,0.01110012922435999,-0.0714682787656784,0.05475799739360809,-0.007636234164237976,0.0033716484904289246
41,1.899026847240748e-05,2.867716073989868,-0.0016810199012979865,0.010887710377573967,-0.06992198526859283,0.0538177490234375,-0.007373496890068054,0.0033823177218437195
42,1.81167443560508e-05,2.867845058441162,-0.00145601702388376,0.010682736523449421,-0.06871430575847626,0.05299542844295502,-0.006946869194507599,0.0034688562154769897
43,1.767447077747e-05,2.8677308559417725,-0.0017320289043709636,0.010446847416460514,-0.06785258650779724,0.051312610507011414,-0.0071345120668411255,0.0030757859349250793
44,1.6869343146306794e-05,2.8678946495056152,-0.001296720583923161,0.01028340682387352,-0.0661827102303505,0.050651490688323975,-0.006581664085388184,0.0034639164805412292
45,1.648736362697561e-05,2.8677985668182373,-0.0015501765301451087,0.010042431764304638,-0.06518527865409851,0.04912711679935455,-0.006704680621623993,0.003046184778213501
46,1.57539111744252e-05,2.8678786754608154,-0.0011600737925618887,0.009885411709547043,-0.06400899589061737,0.04898139834403992,-0.0063241273164749146,0.0034564733505249023
47,1.543777555595555e-05,2.8679070472717285,-0.0011895629577338696,0.009699133224785328,-0.06284241378307343,0.049210697412490845,-0.006224885582923889,0.0032541602849960327
48,1.475827233522208e-05,2.867870807647705,-0.001212292816489935,0.009526524692773819,-0.06164979934692383,0.04869033396244049,-0.006200812757015228,0.0031387880444526672
49,1.4427085926189857e-05,2.8678183555603027,-0.0012547774240374565,0.009359179995954037,-0.0606844425201416,0.04820145666599274,-0.006136544048786163,0.00306025892496109
50,1.392791465640095e-05,2.867841958999634,-0.0012378970859572291,0.009201951324939728,-0.059560924768447876,0.04794582724571228,-0.0060176849365234375,0.0030160248279571533
51,1.351152346055292e-05,2.8679394721984863,-0.0008918298990465701,0.009072193875908852,-0.05840727686882019,0.048198550939559937,-0.005576521158218384,0.0033311694860458374
52,1.3050591248359593e-05,2.867833137512207,-0.001212164293974638,0.008928434923291206,-0.057092294096946716,0.04729956388473511,-0.00590766966342926,0.002901718020439148
53,1.2647255079383076e-05,2.8677871227264404,-0.001218539196997881,0.008749115280807018,-0.05567777156829834,0.04687982797622681,-0.00582808256149292,0.0028371959924697876
54,1.226668931709495e-05,2.867821455001831,-0.0011283064959570765,0.00860306154936552,-0.05465786159038544,0.04681968688964844,-0.005626097321510315,0.0029023513197898865
55,1.186015691263702e-05,2.867785930633545,-0.001254730741493404,0.00846088770776987,-0.05359135568141937,0.04633134603500366,-0.005718208849430084,0.00274059921503067
56,1.1604516133117544e-05,2.8679187297821045,-0.0008059106767177582,0.00836437102407217,-0.052625253796577454,0.046498626470565796,-0.00518585741519928,0.003156401216983795
57,1.1241175343457144e-05,2.8678791522979736,-0.000925484870094806,0.00822246540337801,-0.051446422934532166,0.04620322585105896,-0.0052477046847343445,0.0029574930667877197
58,1.1264607477502208e-05,2.8678293228149414,-0.0010969712166115642,0.008076338097453117,-0.05029846727848053,0.04572717845439911,-0.005342893302440643,0.00270051509141922
59,1.0587435571533906e-05,2.8679306507110596,-0.0008107976755127311,0.007969630882143974,-0.04935179650783539,0.04575437307357788,-0.004974059760570526,0.0030155032873153687
60,1.0350972528473134e-05,2.867785930633545,-0.0011986285680904984,0.00783143937587738,-0.04829494655132294,0.045312896370887756,-0.005343995988368988,0.0025107786059379578
61,1.0028894813820863e-05,2.86788272857666,-0.0008793569286353886,0.007750773336738348,-0.04690659046173096,0.045233502984046936,-0.005003228783607483,0.0028270184993743896
62,9.771184540323493e-06,2.8678903579711914,-0.0008755301823839545,0.00762975076213479,-0.0456213653087616,0.04564580321311951,-0.004907764494419098,0.002783447504043579
63,9.445563556745094e-06,2.867896318435669,-0.0007750284858047962,0.007541030645370483,-0.044939637184143066,0.045223698019981384,-0.004765801131725311,0.0029223263263702393
64,9.262968957885347e-06,2.867708683013916,-0.0010546552948653698,0.00741309579461813,-0.04417465627193451,0.04575246572494507,-0.005057424306869507,0.0026310905814170837
65,9.031043261459741e-06,2.867910385131836,-0.0007682917057536542,0.007323605008423328,-0.04303199052810669,0.04604503512382507,-0.004709593951702118,0.0028762221336364746
66,8.761524720914447e-06,2.8678481578826904,-0.0007278756238520145,0.007243038155138493,-0.042111024260520935,0.046399399638175964,-0.00462263822555542,0.002906985580921173
67,8.458011375995948e-06,2.8678009510040283,-0.0008676468860358,0.0071305641904473305,-0.04083874821662903,0.04655170440673828,-0.004698440432548523,0.0026643797755241394
68,8.294532746661458e-06,2.867856025695801,-0.0006043012253940105,0.007074408698827028,-0.0402739942073822,0.046808406710624695,-0.004420369863510132,0.00295305997133255
69,8.116621214727415e-06,2.8678135871887207,-0.0008200275478884578,0.006971336435526609,-0.039429232478141785,0.04682174324989319,-0.004562795162200928,0.0026597678661346436
70,7.881185568364275e-06,2.8679802417755127,-0.0004966157721355557,0.006902720313519239,-0.038504526019096375,0.04730816185474396,-0.004196822643280029,0.0030190348625183105
71,7.778420117924375e-06,2.867889881134033,-0.000564605463296175,0.006810002028942108,-0.03747040033340454,0.04721464216709137,-0.004229053854942322,0.002902209758758545
72,7.4958811812673676e-06,2.867832899093628,-0.0007616456714458764,0.0067417435348033905,-0.03697851300239563,0.04692617058753967,-0.004395313560962677,0.0026686862111091614
73,7.287501568078789e-06,2.8678295612335205,-0.0007915182504802942,0.006642970722168684,-0.03574487566947937,0.04689896106719971,-0.004367031157016754,0.002561226487159729
74,7.111216177690949e-06,2.8678269386291504,-0.0008116086828522384,0.006562785245478153,-0.0345497727394104,0.04746644198894501,-0.004318170249462128,0.0025032684206962585
75,6.957390487864009e-06,2.867844581604004,-0.0004997237119823694,0.006482675205916166,-0.03339177370071411,0.04791995882987976,-0.003960907459259033,0.0027639642357826233
76,6.947384472019062e-06,2.8678174018859863,-0.0005982192815281451,0.006404944229871035,-0.03232027590274811,0.04780755937099457,-0.004009462893009186,0.002599649131298065
77,6.596200307740219e-06,2.86785888671875,-0.0006070883246138692,0.00635888148099184,-0.03175137937068939,0.04760220646858215,-0.004010580480098724,0.0026058927178382874
78,6.561955737757112e-06,2.8678009510040283,-0.0006852824008092284,0.006281611509621143,-0.031235426664352417,0.04763545095920563,-0.0040806978940963745,0.0025120750069618225
79,6.327968645354514e-06,2.8678407669067383,-0.0005843841354362667,0.0062135993503034115,-0.030088186264038086,0.047525256872177124,-0.003961585462093353,0.0025884583592414856
