epoch,loss,mae,res_mean,res_std,res_min,res_max,res_q25,res_q75
0,0.13943948711340243,2.9979665279388428,0.16181997954845428,0.24566097557544708,-0.06571532785892487,1.1104011535644531,-0.02293514460325241,0.31094956398010254
1,0.09003908860568817,2.9623777866363525,0.10043638944625854,0.205496147274971,-0.09127404540777206,0.9092674255371094,-0.05011509358882904,0.21744310855865479
2,0.05869647359045652,2.934959888458252,0.05764320120215416,0.16919200122356415,-0.10318012535572052,0.7409480810165405,-0.0606377087533474,0.13967232406139374
3,0.03715530822340112,2.9114482402801514,0.024609234184026718,0.13364404439926147,-0.11428600549697876,0.5902243256568909,-0.06392955780029297,0.07132730633020401
4,0.022178636774277456,2.8919286727905273,0.0031507171224802732,0.10194490849971771,-0.11792006343603134,0.47115176916122437,-0.06267143785953522,0.027490586042404175
5,0.01295628511490157,2.8741798400878906,-0.012678402476012707,0.07493584603071213,-0.12954409420490265,0.35284197330474854,-0.06379111111164093,0.01775319129228592
6,0.006561679846177308,2.8619675636291504,-0.020817209035158157,0.06034354120492935,-0.14225417375564575,0.24555133283138275,-0.06502123177051544,0.01725497841835022
7,0.0036596817170413067,2.855855703353882,-0.02299634926021099,0.05484359711408615,-0.14581528306007385,0.17672842741012573,-0.06601662933826447,0.01681806892156601
8,0.002298706748451178,2.8541693687438965,-0.02200123481452465,0.05030647665262222,-0.12691998481750488,0.1317063719034195,-0.06311856210231781,0.015948645770549774
9,0.0015281253167463897,2.855588674545288,-0.018916429951786995,0.044494591653347015,-0.1144411563873291,0.10032312572002411,-0.0546673908829689,0.015156596899032593
10,0.0010176661822837419,2.8578107357025146,-0.01617519184947014,0.03904365748167038,-0.1145729348063469,0.08710668981075287,-0.047009509056806564,0.014046892523765564
11,0.0006977068674481976,2.858830213546753,-0.015962028875947,0.03470316901803017,-0.11751831322908401,0.09725189208984375,-0.04287255182862282,0.010433048009872437
12,0.0005171636741859122,2.8594090938568115,-0.016061557456851006,0.03138362616300583,-0.11678874492645264,0.10619105398654938,-0.0390932559967041,0.006894096732139587
13,0.0004030547643196769,2.8602068424224854,-0.014916976913809776,0.029067346826195717,-0.11251022666692734,0.11086845397949219,-0.03581557422876358,0.005788400769233704
14,0.0003276749641652434,2.8610410690307617,-0.013966593891382217,0.027224546298384666,-0.1092115044593811,0.1136956512928009,-0.032841600477695465,0.00469401478767395
15,0.0002750092697589515,2.861625909805298,-0.013713606633245945,0.025376608595252037,-0.1060151755809784,0.11470909416675568,-0.03061544895172119,0.00321178138256073
16,0.00024291653664057286,2.8620834350585938,-0.012925084680318832,0.024039048701524734,-0.1025075912475586,0.1147814691066742,-0.02843526005744934,0.0025984570384025574
17,0.0002105502349317808,2.862865924835205,-0.011309306137263775,0.022981667891144753,-0.09889867901802063,0.11507637798786163,-0.025817178189754486,0.002664916217327118
18,0.00017884043140489107,2.86450457572937,-0.008238398469984531,0.02143433690071106,-0.0956013947725296,0.11138500273227692,-0.020389020442962646,0.0034954771399497986
19,0.00014432243677639725,2.8653359413146973,-0.006925092078745365,0.01988653466105461,-0.09389784932136536,0.10400044918060303,-0.016751475632190704,0.0028226226568222046
20,0.00012754037071807453,2.865687370300293,-0.006313968449831009,0.018802927806973457,-0.09332510828971863,0.10160617530345917,-0.014921844005584717,0.0026966631412506104
21,0.00011554663545281913,2.8660638332366943,-0.0053152055479586124,0.018058229237794876,-0.09311245381832123,0.09939639270305634,-0.01366722583770752,0.00365322083234787
22,0.00010438021574652969,2.8662824630737305,-0.004750891122967005,0.017460716888308525,-0.09226541221141815,0.09719285368919373,-0.0130685493350029,0.004090644419193268
23,9.671346966710049e-05,2.8664302825927734,-0.0044524092227220535,0.016887305304408073,-0.09168432652950287,0.09492868185043335,-0.012747369706630707,0.004161052405834198
24,8.916535038084615e-05,2.8667550086975098,-0.0039618974551558495,0.01631668210029602,-0.09133975207805634,0.09301239252090454,-0.011964350938796997,0.004267469048500061
25,8.410617528380289e-05,2.8668484687805176,-0.0036843125708401203,0.015826869755983353,-0.09090489894151688,0.09054705500602722,-0.011521957814693451,0.004304058849811554
26,7.788918271846621e-05,2.8670296669006348,-0.0034544896334409714,0.015359366312623024,-0.08966350555419922,0.08759112656116486,-0.011048614978790283,0.004211895167827606
27,7.366708534671209e-05,2.8671679496765137,-0.003328300081193447,0.0149270910769701,-0.0888337567448616,0.0838678628206253,-0.01067933440208435,0.0038974210619926453
28,6.917709176307723e-05,2.867171287536621,-0.0031579763162881136,0.014519952237606049,-0.08766292035579681,0.07959900796413422,-0.010438203811645508,0.003887481987476349
29,6.609810700935598e-05,2.8674004077911377,-0.002726980485022068,0.014181243255734444,-0.08600488305091858,0.07654516398906708,-0.009863995015621185,0.004067152738571167
30,6.318112970732797e-05,2.8673999309539795,-0.0026891108136624098,0.013789205811917782,-0.0848027914762497,0.072391077876091,-0.009614430367946625,0.003919787704944611
31,5.976980390607003e-05,2.8676187992095947,-0.0021392065100371838,0.013446051627397537,-0.08302372694015503,0.06899793446063995,-0.008886925876140594,0.0043095797300338745
32,5.601470953619215e-05,2.8675460815429688,-0.0024207953829318285,0.013054871931672096,-0.08181199431419373,0.06729167699813843,-0.008983694016933441,0.003687463700771332
33,5.421052082965616e-05,2.867640972137451,-0.002041508909314871,0.012797090224921703,-0.08032317459583282,0.06592270731925964,-0.008611127734184265,0.004042193293571472
34,5.087281330746079e-05,2.867659330368042,-0.002085076877847314,0.012487515807151794,-0.07867661118507385,0.06360068917274475,-0.008464440703392029,0.003738000988960266
35,4.916248998107711e-05,2.867668628692627,-0.0020489366725087166,0.012207591906189919,-0.07751975953578949,0.061874955892562866,-0.00831286609172821,0.003576993942260742
36,4.641509251366817e-05,2.8676044940948486,-0.0019702392164617777,0.011895793490111828,-0.07622763514518738,0.05967134237289429,-0.008180081844329834,0.0035724639892578125
37,4.392065868439833e-05,2.8675966262817383,-0.002085915068164468,0.011601326987147331,-0.07489671558141708,0.05766884982585907,-0.00815078616142273,0.003303922712802887
38,4.19014739656212e-05,2.8677561283111572,-0.0017760500777512789,0.011335315182805061,-0.07343935966491699,0.056299492716789246,-0.007576398551464081,0.0034922584891319275
