family,resolution,comparison,n,mean_1,mean_2,mean_diff,t,p_raw,p_holm,p_wilcoxon,cohen_d,significant
F1_nowcast_LSTM_vs_MLP,5,LSTM - PG-ResMLP,20,1.3191939532756805,1.4464265823364257,-0.12723262906074523,-16.974202948251023,6.138308887913637e-13,3.0691544439568182e-12,1.9073486328125e-06,-3.7955471656166626,YES
F1_nowcast_LSTM_vs_MLP,10,LSTM - PG-ResMLP,20,1.3219010353088378,1.4038983702659606,-0.08199733495712283,-8.126763929568408,1.3258977306901463e-07,5.303590922760585e-07,3.814697265625e-06,-1.8171996583608272,YES
F1_nowcast_LSTM_vs_MLP,15,LSTM - PG-ResMLP,20,1.3059730529785156,1.4587849080562592,-0.15281185507774356,-3.1421716384018414,0.005365599079125722,0.016096797237377166,0.0001049041748046875,-0.7026109380438404,YES
F1_nowcast_LSTM_vs_MLP,30,LSTM - PG-ResMLP,20,1.331189328432083,1.3827897250652312,-0.05160039663314823,-0.9520359324744789,0.3530339468609852,0.3530339468609852,0.956329345703125,-0.21288170620353344,no
F1_nowcast_LSTM_vs_MLP,60,LSTM - PG-ResMLP,20,1.5764500081539154,1.431323117017746,0.14512689113616944,1.984943432633754,0.061779910486526445,0.12355982097305289,0.069580078125,0.4438468446860848,no
F2_forecast_LSTM_vs_MLP,5,LSTM - PG-ResMLP,20,1.3504992246627807,1.5048460245132447,-0.15434679985046382,-9.251312989882527,1.8156367022139315e-08,1.8156367022139315e-08,1.9073486328125e-06,-2.0686564726504155,YES
F2_forecast_LSTM_vs_MLP,10,LSTM - PG-ResMLP,20,1.439837396144867,1.7467897176742553,-0.30695232152938845,-18.73541261738003,1.0405266184002318e-13,3.1215798552006955e-13,1.9073486328125e-06,-4.189365619896901,YES
F2_forecast_LSTM_vs_MLP,15,LSTM - PG-ResMLP,20,1.5736762523651122,1.958310079574585,-0.3846338272094726,-16.946112767797633,6.322789425995946e-13,1.2645578851991893e-12,1.9073486328125e-06,-3.7892660103172617,YES
F2_forecast_LSTM_vs_MLP,30,LSTM - PG-ResMLP,20,1.9593187630176545,2.605477750301361,-0.6461589872837067,-23.1431618414957,2.2079868786815775e-15,8.83194751472631e-15,1.9073486328125e-06,-5.17496830918636,YES
F2_forecast_LSTM_vs_MLP,60,LSTM - PG-ResMLP,20,2.341729187965393,3.1087682962417604,-0.7670391082763672,-29.788320894670154,2.0648334144231146e-17,1.0324167072115573e-16,1.9073486328125e-06,-6.660871045605982,YES
F3_forecast_Hybrid_vs_LSTM,5,Hybrid - LSTM,20,1.3469929933547973,1.3504992246627807,-0.0035062313079834316,-0.16040891869847534,0.8742521316324319,1.0,0.7285060882568359,-0.035868524640702795,no
F3_forecast_Hybrid_vs_LSTM,10,Hybrid - LSTM,20,1.4997613787651063,1.439837396144867,0.059923982620239256,2.2532806880453715,0.03625068331432598,0.1812534165716299,0.029575347900390625,0.5038488790856948,no
F3_forecast_Hybrid_vs_LSTM,15,Hybrid - LSTM,20,1.578246635198593,1.5736762523651122,0.004570382833480857,0.14397801266166954,0.8870339768810592,1.0,0.8123550415039062,0.03219446235768185,no
F3_forecast_Hybrid_vs_LSTM,30,Hybrid - LSTM,20,1.8815165102481841,1.9593187630176545,-0.07780225276947027,-2.146392923120979,0.04496756826451884,0.1812534165716299,0.05316925048828125,-0.4799480482522988,no
F3_forecast_Hybrid_vs_LSTM,60,Hybrid - LSTM,20,2.4278285026550295,2.341729187965393,0.08609931468963616,1.7175206614230583,0.1021399785036272,0.3064199355108816,0.14290618896484375,0.3840492951702359,no
