N,seed,method,MAE,n_samples
7,4,B_Scratch_Res5f,2.460418939590454,420.0
7,4,C_Pretrained_Res5f,3.781216621398926,420.0
7,4,D_Pretrained_Std4f,3.075934410095215,420.0
7,5,A_Faiman+bias,3.662278652191162,420.0
7,5,B_Scratch_Res5f,2.5574893951416016,420.0
7,5,C_Pretrained_Res5f,2.5470821857452393,420.0
7,5,D_Pretrained_Std4f,3.1244888305664062,420.0
7,6,A_Faiman+bias,3.3833298683166504,420.0
7,6,B_Scratch_Res5f,2.0666441917419434,420.0
7,6,C_Pretrained_Res5f,2.6526119709014893,420.0
7,6,D_Pretrained_Std4f,1.82022225856781,420.0
7,7,A_Faiman+bias,3.721019744873047,420.0
7,7,B_Scratch_Res5f,2.2434816360473633,420.0
7,7,C_Pretrained_Res5f,4.00367546081543,420.0
7,7,D_Pretrained_Std4f,4.05134916305542,420.0
7,8,A_Faiman+bias,3.4026741981506348,420.0
7,8,B_Scratch_Res5f,2.904982328414917,420.0
7,8,C_Pretrained_Res5f,2.7725350856781006,420.0
7,8,D_Pretrained_Std4f,2.5203678607940674,420.0
7,9,A_Faiman+bias,3.643686056137085,420.0
7,9,B_Scratch_Res5f,1.9978753328323364,420.0
7,9,C_Pretrained_Res5f,2.122140645980835,420.0
7,9,D_Pretrained_Std4f,3.72228741645813,420.0
14,0,A_Faiman+bias,3.515882968902588,840.0
14,0,B_Scratch_Res5f,2.399961471557617,840.0
14,0,C_Pretrained_Res5f,2.3393850326538086,840.0
14,0,D_Pretrained_Std4f,3.1327309608459473,840.0
14,1,A_Faiman+bias,3.419464588165283,840.0
14,1,B_Scratch_Res5f,2.0139925479888916,840.0
14,1,C_Pretrained_Res5f,1.8985017538070679,840.0
14,1,D_Pretrained_Std4f,1.8507306575775146,840.0
14,2,A_Faiman+bias,3.7377493381500244,840.0
14,2,B_Scratch_Res5f,2.1738765239715576,840.0
14,2,C_Pretrained_Res5f,2.2982962131500244,840.0
14,2,D_Pretrained_Std4f,2.5716183185577393,840.0
14,3,A_Faiman+bias,3.332559823989868,840.0
14,3,B_Scratch_Res5f,2.6210811138153076,840.0
14,3,C_Pretrained_Res5f,2.7396445274353027,840.0
14,3,D_Pretrained_Std4f,2.309819221496582,840.0
14,4,A_Faiman+bias,3.521644115447998,840.0
