N_days,strategy,seed,MAE,RMSE,R2,n_samples
1,output_only,0,3.922422170639038,5.039832714271555,0.5671629905700684,60
1,output_only,1,3.6263504028320312,4.3205526605943305,0.6818947792053223,60
1,output_only,2,4.133312702178955,5.397723049910504,0.5035067200660706,60
1,output_only,3,3.7719690799713135,4.755414787676933,0.6146378517150879,60
1,output_only,4,3.5246284008026123,4.556851587754671,0.6461477279663086,60
1,last_layer,0,3.9451708793640137,5.083927724305002,0.5595557689666748,60
1,last_layer,1,3.616844415664673,4.312275314006408,0.6831124424934387,60
1,last_layer,2,4.0893120765686035,5.316325347531476,0.5183680653572083,60
1,last_layer,3,3.786713123321533,4.781549382030667,0.6103905439376831,60
1,last_layer,4,2.807748556137085,3.7785058270558767,0.7567054033279419,60
1,full_finetune,0,2.9678752422332764,3.755848583537214,0.7596144676208496,60
1,full_finetune,1,3.515625,4.2998573634421025,0.6849348545074463,60
1,full_finetune,2,4.139408588409424,5.4096605424978925,0.5013082027435303,60
1,full_finetune,3,3.3015787601470947,4.16595427463031,0.7042524218559265,60
1,full_finetune,4,3.1281113624572754,4.141817892730554,0.7076694965362549,60
1,from_scratch,0,4.330089569091797,5.9642406426024674,0.393818736076355,60
1,from_scratch,1,5.945837497711182,7.158548710535766,0.12674283981323242,60
1,from_scratch,2,4.624405384063721,5.917756674211587,0.40323084592819214,60
1,from_scratch,3,12.392309188842773,13.56156897095987,-2.134094476699829,60
1,from_scratch,4,12.422065734863281,13.822209738520975,-2.255720853805542,60
3,output_only,0,2.709871768951416,3.403574041160572,0.8025929927825928,180
3,output_only,1,3.5482263565063477,4.268506317108974,0.6895125508308411,180
3,output_only,2,2.8922653198242188,3.6023197329632044,0.778865396976471,180
3,output_only,3,2.778674602508545,3.5764169405893615,0.782034158706665,180
3,output_only,4,3.133195638656616,4.154951308569923,0.7058125734329224,180
3,last_layer,0,1.94301176071167,2.72835623863391,0.8731488585472107,180
3,last_layer,1,3.7257132530212402,4.545475590397061,0.6479122638702393,180
3,last_layer,2,1.9874404668807983,2.8070272817777404,0.8657280206680298,180
3,last_layer,3,2.791353464126587,3.5829033408811988,0.7812427878379822,180
3,last_layer,4,2.9139926433563232,3.896818447849852,0.741230845451355,180
3,full_finetune,0,2.005852699279785,2.7183897283969607,0.8740739226341248,180
3,full_finetune,1,2.8635427951812744,3.511361482669521,0.7898916602134705,180
3,full_finetune,2,2.2270023822784424,2.981043049089104,0.8485641479492188,180
3,full_finetune,3,2.7471888065338135,3.558159040579361,0.7842538952827454,180
3,full_finetune,4,3.0415637493133545,4.018397698748547,0.7248319387435913,180
3,from_scratch,0,2.3219363689422607,3.2715466120479233,0.8176110982894897,180
3,from_scratch,1,2.3818109035491943,3.345121156012272,0.8093152642250061,180
3,from_scratch,2,3.7247347831726074,5.021242792467638,0.570350170135498,180
3,from_scratch,3,5.188222408294678,6.719855355113854,0.23049396276474,180
3,from_scratch,4,6.643249988555908,7.933045827106428,-0.07243788242340088,180
7,output_only,0,2.2102720737457275,2.9473753163608403,0.8519654273986816,420
7,output_only,1,2.1876630783081055,2.9361054377008307,0.8530953526496887,420
7,output_only,2,2.857416868209839,3.5424937610127087,0.7861494421958923,420
7,output_only,3,3.9072763919830322,5.01488282604002,0.5714378356933594,420
7,output_only,4,4.047863483428955,5.2631241380713245,0.5279593467712402,420
7,last_layer,0,1.8305134773254395,2.632146100114162,0.8819374442100525,420
7,last_layer,1,1.8264325857162476,2.625964941053682,0.8824912905693054,420
7,last_layer,2,1.912040114402771,2.7575957561616304,0.8704153895378113,420
