method,fl_labels,FL_MAE,OR_MAE,CO_MAE
NExT-PINN-v3-P1-zeroshot,False,4.6351470947265625,2.519927978515625,2.093247652053833
NExT-PINN-v3-P2-pseudolbl,False,4.571671009063721,2.5391526222229004,2.411902904510498
PseudoLabel-only,False,4.607907772064209,,
