Target,Variant,MAE,std
FL,A1: Direct MLP (no physics),1.9850681185722352,0.1132726865587124
FL,A2: Residual scratch (no pretrain),1.8315995752811431,0.018051285050305288
FL,A3: CO pretrained zero-shot,3.032113552093506,0.0
FL,A4: Full method (pretrain+fewshot),2.260498803853989,0.43133570761901063
FL,A5: Scratch 3d (no pretrain),2.429693579673767,0.4066274948232862
FL,A0: Faiman+RH (physics only),2.8682562438926307,0.0
OR,A1: Direct MLP (no physics),1.5274027645587922,0.03331766560412854
OR,A2: Residual scratch (no pretrain),1.5131195783615112,0.031106293680371943
OR,A3: CO pretrained zero-shot,1.5222777128219604,0.0
OR,A4: Full method (pretrain+fewshot),1.456211620569229,0.045990713516842134
OR,A5: Scratch 3d (no pretrain),1.598706179857254,0.21693030860582427
OR,A0: Faiman+RH (physics only),1.5678371315713548,0.0
