datetime,elapsed_sec,lux,GHI,T_ambient,RH,T_module,WS,T_Faiman,GHI_lag,Faiman_error,ALLSKY_SFC_SW_DWN,WS_source,T_Faiman_ws_real,Faiman_ws_real_error
2026-04-16 13:00:00.000,0.0,4744.4,39.53666666666666,38.0,56.9,38.4,1.52,39.052626908058215,0.0,0.6526269080582168,,NASA_POWER,39.08708005220477,0.6870800522047702
2026-04-16 13:00:00.001,0.001,3143.9,26.199166666666667,38.0,56.7,40.7,1.52,38.69752839900603,0.0,-2.002471600993971,,NASA_POWER,38.72035894446644,-1.9796410555335626
2026-04-16 13:01:00.000,60.0,4705.0,39.208333333333336,37.8,57.5,38.6,1.52,38.843885339013134,0.0,0.2438853390131328,,NASA_POWER,38.87805236607863,0.2780523660786258
2026-04-16 13:01:00.000,60.0,10849.2,90.41,40.7,52.9,41.7,1.52,43.10708200212993,0.0,1.4070820021299255,,NASA_POWER,43.18586731775989,1.4858673177598902
2026-04-16 13:01:00.000,60.0,3134.6,26.121666666666663,37.6,57.5,40.2,1.52,38.29546503372382,0.0,-1.9045349662761808,,NASA_POWER,38.31822804393413,-1.8817719560658759
2026-04-16 13:02:00.000,120.0,3321.6,27.68,37.2,58.3,39.6,1.52,37.93695420660277,0.0,-1.663045793397231,,NASA_POWER,37.961075183669884,-1.6389248163301176
2026-04-16 13:02:00.000,120.0,4888.7,40.73916666666666,37.8,57.3,38.6,1.52,38.88464235001775,0.0,0.2846423500177479,,NASA_POWER,38.92014337981904,0.3201433798190365
2026-04-16 13:02:00.000,120.0,10696.1,89.13416666666667,40.1,53.7,41.6,1.52,42.4731141285055,0.0,0.8731141285054989,,NASA_POWER,42.55078765415805,0.9507876541580487
2026-04-16 13:03:00.000,180.0,11313.6,94.28,39.6,54.6,41.7,1.52,42.11011714589989,0.0,0.4101171458998891,,NASA_POWER,42.19227486692183,0.4922748669218251
2026-04-16 13:03:00.000,180.0,5121.1,42.67583333333334,37.8,57.3,38.6,1.52,38.93620429534966,0.0,0.3362042953496598,,NASA_POWER,38.97339298021791,0.3733929802179077
2026-04-16 13:03:00.000,180.0,3789.9,31.5825,37.3,58.2,39.3,1.52,38.14085463258785,0.0,-1.159145367412144,,NASA_POWER,38.16837633628085,-1.1316236637191466
2026-04-16 13:04:00.000,240.0,8946.9,74.55749999999999,39.9,53.9,41.9,1.52,41.88502396166134,0.0,-0.0149760383386592,,NASA_POWER,41.949995050811665,0.049995050811666886
